"mean","median","max","min","date","month","year"
2.29814574678893,2.40000009536743,3.70000004768372,0.5,2002-07-04,7,2002
2.55280991418303,2.59999990463257,4.09999990463257,0.300000011920929,2002-07-08,7,2002
2.61657731977935,2.59999990463257,4,0.300000011920929,2002-07-12,7,2002
2.71997497969612,2.79999995231628,4.09999990463257,0.5,2002-07-16,7,2002
2.37278375964127,2.40000009536743,3.90000009536743,0.400000005960464,2002-07-20,7,2002
2.39231093560889,2.40000009536743,4.09999990463257,0.800000011920929,2002-07-24,7,2002
2.58212196714896,2.59999990463257,4,0.800000011920929,2002-07-28,7,2002
2.13775933493717,2.20000004768372,3.40000009536743,0.600000023841858,2002-08-05,8,2002
2.63844554491669,2.59999990463257,4.09999990463257,0.899999976158142,2002-08-09,8,2002
2.39227910700364,2.29999995231628,4,1.29999995231628,2002-08-13,8,2002
2.18537386409455,2.20000004768372,3.70000004768372,0.800000011920929,2002-08-17,8,2002
1.71173730081717,1.70000004768372,3.5,0.300000011920929,2002-08-21,8,2002
2.04896928171275,2.09999990463257,3.70000004768372,0.5,2002-08-25,8,2002
1.6122156644794,1.5,3.90000009536743,0.200000002980232,2002-08-29,8,2002
2.13705127549987,2.20000004768372,3.70000004768372,0.800000011920929,2002-09-02,9,2002
1.86796657332914,1.89999997615814,3.70000004768372,0.300000011920929,2002-09-06,9,2002
2.02829647562135,2.09999990463257,3.90000009536743,1,2002-09-10,9,2002
1.18833734836923,1.10000002384186,3.5,0.5,2002-09-14,9,2002
2.04522717525781,2.09999990463257,3.90000009536743,1,2002-09-18,9,2002
1.87972692783381,2,3.79999995231628,0.800000011920929,2002-09-22,9,2002
1.40458766073558,1.29999995231628,3.29999995231628,0.600000023841858,2002-09-26,9,2002
1.03251029064289,1,3.90000009536743,0.100000001490116,2002-09-30,9,2002
1.29208237947534,1.20000004768372,4,0.300000011920929,2002-10-04,10,2002
1.37729183593224,1.29999995231628,3.09999990463257,0.200000002980232,2002-10-08,10,2002
1.26395586689589,1.20000004768372,4,0.300000011920929,2002-10-12,10,2002
1.32188523955277,1.29999995231628,3.09999990463257,0.400000005960464,2002-10-16,10,2002
1.15164179424487,1.10000002384186,2.79999995231628,0.300000011920929,2002-10-20,10,2002
1.29860196761346,1.20000004768372,3.5,0.300000011920929,2002-10-24,10,2002
1.05591985836747,1,4.09999990463257,0.100000001490116,2002-10-28,10,2002
1.18836001834535,1.10000002384186,3.5,0.300000011920929,2002-11-01,11,2002
0.693704603100083,0.600000023841858,1.39999997615814,0.100000001490116,2002-11-05,11,2002
0.377950314756321,0.300000011920929,1.89999997615814,0.100000001490116,2002-11-09,11,2002
0.748706901022072,0.600000023841858,2.29999995231628,0.100000001490116,2002-11-13,11,2002
0.752831863460288,0.699999988079071,3.20000004768372,0.100000001490116,2002-11-17,11,2002
0.908442777946703,0.800000011920929,3.29999995231628,0.100000001490116,2002-11-21,11,2002
0.900645462364137,0.699999988079071,3.79999995231628,0.100000001490116,2002-11-25,11,2002
0.959782612349985,0.800000011920929,3.59999990463257,0.100000001490116,2002-11-29,11,2002
0.200000003601114,0.100000001490116,0.699999988079071,0.100000001490116,2002-12-03,12,2002
0.575923398605939,0.5,2,0.100000001490116,2002-12-07,12,2002
NA,NA,-Inf,Inf,2002-12-11,12,2002
NA,NA,-Inf,Inf,2002-12-15,12,2002
NA,NA,-Inf,Inf,2002-12-19,12,2002
NA,NA,-Inf,Inf,2002-12-23,12,2002
NA,NA,-Inf,Inf,2002-12-27,12,2002
NA,NA,-Inf,Inf,2002-12-31,12,2002
NA,NA,-Inf,Inf,2003-01-01,1,2003
0.514854872767805,0.5,2.40000009536743,0.100000001490116,2003-01-05,1,2003
0.470716729851713,0.5,1.70000004768372,0.100000001490116,2003-01-09,1,2003
0.393765749034451,0.300000011920929,1.29999995231628,0.100000001490116,2003-01-13,1,2003
0.482836885755578,0.5,2.5,0.100000001490116,2003-01-17,1,2003
0.235564858531852,0.200000002980232,0.600000023841858,0.100000001490116,2003-01-21,1,2003
0.450251623822107,0.400000005960464,1.29999995231628,0.100000001490116,2003-01-25,1,2003
0.230769237360129,0.200000002980232,0.400000005960464,0.100000001490116,2003-01-29,1,2003
0.588584784463108,0.600000023841858,1.60000002384186,0.100000001490116,2003-02-02,2,2003
0.802557801018779,0.800000011920929,3.79999995231628,0.100000001490116,2003-02-06,2,2003
0.813383962776942,0.800000011920929,3.29999995231628,0.100000001490116,2003-02-10,2,2003
0.31296296948912,0.300000011920929,0.699999988079071,0.100000001490116,2003-02-14,2,2003
0.400328953125465,0.300000011920929,1.39999997615814,0.100000001490116,2003-02-18,2,2003
0.667420819755728,0.600000023841858,1.79999995231628,0.100000001490116,2003-02-22,2,2003
0.672832375609806,0.600000023841858,1.39999997615814,0.200000002980232,2003-02-26,2,2003
0.628601700988319,0.600000023841858,2,0.100000001490116,2003-03-02,3,2003
NA,NA,-Inf,Inf,2003-03-06,3,2003
0.367857149479036,0.300000011920929,0.899999976158142,0.100000001490116,2003-03-10,3,2003
0.58962264690759,0.600000023841858,1.79999995231628,0.200000002980232,2003-03-14,3,2003
0.705919004883907,0.5,2.29999995231628,0.100000001490116,2003-03-18,3,2003
0.607125513038413,0.600000023841858,2.70000004768372,0.100000001490116,2003-03-22,3,2003
0.74320000265042,0.800000011920929,1.20000004768372,0.100000001490116,2003-03-26,3,2003
